Date,Toyota,Honda,Nikkei,Mon,Tue,Wed,Thr,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov
2015/12/4,-1.725 ,-2.421 ,-2.184 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015/12/7,0.157 ,1.279 ,0.993 ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015/12/8,-1.340 ,-1.039 ,-1.043 ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015/12/9,0.698 ,-0.475 ,-0.983 ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015/12/10,-0.693 ,-2.288 ,-1.319 ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015/12/11,1.109 ,0.644 ,0.966 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015/12/14,-2.890 ,-1.686 ,-1.805 ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015/12/15,-1.861 ,-1.871 ,-1.681 ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015/12/16,3.931 ,4.475 ,2.607 ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015/12/17,1.197 ,1.219 ,1.594 ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015/12/18,-0.586 ,-1.854 ,-1.895 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015/12/21,-1.031 ,-0.664 ,-0.373 ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015/12/22,0.738 ,-0.334 ,-0.155 ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015/12/24,-1.244 ,0.128 ,-0.514 ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015/12/25,-0.757 ,-0.694 ,-0.110 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
